Provsti,Standard stift
Amagerbro Provsti,Københavns Stift
Amagerland Provsti,Københavns Stift
Bispebjerg-Brønshøj Provsti,Københavns Stift
Bornholms Provsti,Københavns Stift
Frederiksberg Provsti,Københavns Stift
Holmens og Østerbro Provsti,Københavns Stift
Nørrebro Provsti,Københavns Stift
Valby-Vanløse Provsti,Københavns Stift
Vor Frue-Vesterbro Provsti,Københavns Stift
Ballerup-Furesø Provsti,Helsingør Stift
Fredensborg Provsti,Helsingør Stift
Frederikssund Provsti,Helsingør Stift
Frederiksværk Provsti,Helsingør Stift
Gentofte Provsti,Helsingør Stift
Gladsaxe-Herlev Provsti,Helsingør Stift
Glostrup Provsti,Helsingør Stift
Helsingør Domprovsti,Helsingør Stift
Hillerød Provsti,Helsingør Stift
Høje Taastrup Provsti,Helsingør Stift
Kongens Lyngby Provsti,Helsingør Stift
Rudersdal Provsti,Helsingør Stift
Rødovre-Hvidovre Provsti,Helsingør Stift
Greve-Solrød Provsti,Roskilde Stift
Holbæk Provsti,Roskilde Stift
Kalundborg Provsti,Roskilde Stift
Køge Provsti,Roskilde Stift
Lejre Provsti,Roskilde Stift
Næstved Provsti,Roskilde Stift
Odsherred Provsti,Roskilde Stift
Ringsted-Sorø Provsti,Roskilde Stift
Roskilde Domprovsti,Roskilde Stift
Slagelse Provsti,Roskilde Stift
Stege-Vordingborg Provsti,Roskilde Stift
Tryggevælde Provsti,Roskilde Stift
Falster Provsti,Lolland-Falsters Stift
Lolland Vestre Provsti,Lolland-Falsters Stift
Lolland Østre Provsti,Lolland-Falsters Stift
Maribo Domprovsti,Lolland-Falsters Stift
,
,I alt
